Barcode NO.,Isc(A),Voc(V),Imp(A),Vmp(V),Pmax(W),Carton NO.,Pallet NO.,Cable Length,Connector,Country of Origin,Current Sorting
11702050640008,9.19,45.25,8.78,36.14,317.30,170520204636,23,1160mm,PV2b,CN,I3
11702050640020,9.24,45.29,8.81,36.20,318.80,170520204636,23,1160mm,PV2b,CN,I3
11702050640014,9.21,45.25,8.78,36.19,317.60,170520204636,23,1160mm,PV2b,CN,I3
11702050640016,9.18,45.19,8.81,36.09,317.80,170520204636,23,1160mm,PV2b,CN,I3
11702050640018,9.24,45.31,8.81,36.20,318.80,170520204636,23,1160mm,PV2b,CN,I3
11702050640006,9.22,45.26,8.79,36.14,317.70,170520204636,23,1160mm,PV2b,CN,I3
11702050640017,9.10,45.15,8.73,36.21,316.10,170520204636,23,1160mm,PV2b,CN,I3
11702050640007,9.24,45.32,8.76,36.18,317.00,170520204636,23,1160mm,PV2b,CN,I3
11702050640009,9.31,45.24,8.81,36.05,317.50,170520204636,23,1160mm,PV2b,CN,I3
11702050640002,9.20,45.21,8.79,36.07,317.10,170520204636,23,1160mm,PV2b,CN,I3
11702050640015,9.20,45.31,8.81,36.16,318.50,170520204636,23,1160mm,PV2b,CN,I3
11702050640004,9.26,45.26,8.75,36.26,317.30,170520204636,23,1160mm,PV2b,CN,I3
11702050640019,9.21,45.26,8.82,36.04,318.00,170520204636,23,1160mm,PV2b,CN,I3
11702050640012,9.22,45.26,8.81,36.16,318.50,170520204636,23,1160mm,PV2b,CN,I3
11702050640010,9.20,45.24,8.78,36.18,317.50,170520204636,23,1160mm,PV2b,CN,I3
11702050640005,9.22,45.29,8.79,36.15,317.90,170520204636,23,1160mm,PV2b,CN,I3
11702050640013,9.26,45.25,8.78,36.19,317.70,170520204636,23,1160mm,PV2b,CN,I3
11702050650022,9.28,45.41,8.91,35.87,319.80,170520204636,23,1160mm,PV2b,CN,I3
11702050650182,9.22,45.35,8.82,36.22,319.60,170520204636,23,1160mm,PV2b,CN,I3
11702050650465,9.16,45.27,8.71,36.73,319.90,170520206147,24,1160mm,PV2b,CN,I3
11702050650174,9.22,45.33,8.71,36.74,320.00,170520206147,24,1160mm,PV2b,CN,I3
11702050680443,9.25,45.42,8.84,36.15,319.60,170520206147,24,1160mm,PV2b,CN,I3
11702050681171,9.21,45.47,8.79,36.37,319.90,170520206147,24,1160mm,PV2b,CN,I3
11702050681604,9.19,45.37,8.84,36.16,319.60,170520206147,24,1160mm,PV2b,CN,I3
11702050650487,9.19,45.40,8.81,36.18,318.80,170520206147,24,1160mm,PV2b,CN,I3
11702050650418,9.20,45.44,8.81,36.13,318.40,170520206147,24,1160mm,PV2b,CN,I3
11702050650406,9.19,45.47,8.78,36.37,319.30,170520206147,24,1160mm,PV2b,CN,I3
11702050640003,9.27,45.23,8.81,36.06,317.50,170520206147,24,1160mm,PV2b,CN,I3
11702050640001,9.17,45.27,8.79,36.07,317.10,170520206147,24,1160mm,PV2b,CN,I3
11702050650200,9.31,45.48,8.72,36.63,319.40,170520206147,24,1160mm,PV2b,CN,I3
11702050640011,9.24,45.26,8.84,36.04,318.40,170520206147,24,1160mm,PV2b,CN,I3
11702050590012,9.21,45.26,8.71,36.52,318.10,170520206147,24,1160mm,PV2b,CN,I3
11702050590083,9.22,45.30,8.81,36.13,318.30,170520206147,24,1160mm,PV2b,CN,I3
11702050580395,9.25,45.16,8.77,36.04,316.20,170520206147,24,1160mm,PV2b,CN,I3
11702050580018,9.23,45.45,8.71,36.74,320.00,170520206147,24,1160mm,PV2b,CN,I3
11702050580452,9.08,45.26,8.80,36.03,317.10,170520206147,24,1160mm,PV2b,CN,I3
11702050580394,9.12,45.23,8.71,36.41,317.00,170520206147,24,1160mm,PV2b,CN,I3
11702050580355,9.20,45.35,8.81,36.22,319.30,170520206147,24,1160mm,PV2b,CN,I3
11702050580523,9.21,45.36,8.80,36.16,318.10,170520206147,24,1160mm,PV2b,CN,I3
11702050580488,9.25,45.30,8.78,36.27,318.60,170520206147,24,1160mm,PV2b,CN,I3
11701051370267,9.24,45.44,8.87,36.03,319.60,170520206147,24,1160mm,PV2b,CN,I3
11702050481895,9.31,45.36,8.86,35.94,318.30,170520206147,24,1160mm,PV2b,CN,I3
11701051341268,9.25,45.42,8.80,36.18,318.30,170520206147,24,1160mm,PV2b,CN,I3
11702050530713,9.19,45.55,8.77,36.44,319.60,170520206147,24,1160mm,PV2b,CN,I3
11702050401334,9.15,45.29,8.77,36.15,317.00,170520206147,24,1160mm,PV2b,CN,I3
